ROP_Level,KNN_Accuracy,LR_Accuracy,GB_Accuracy
-28.0,0.698174543635909,0.7170542635658915,0.7190547636909227
-27.5,0.7284089488813899,0.7482814648168978,0.7485314335708037
-27.0,0.75625,0.770375,0.768625
-26.5,0.7735,0.79,0.78875
-26.0,0.791375,0.807,0.80575
-25.5,0.80525,0.820875,0.81625
-25.0,0.825875,0.841875,0.84475
-24.5,0.83575,0.846875,0.846375
-24.0,0.849125,0.863,0.85875
-23.5,0.8766095761970246,0.8852356544568071,0.8799849981247656
-23.0,0.8815296175956011,0.8907773056735816,0.8901524618845289
-22.5,0.889611201400175,0.897737217152144,0.9006125765720715
-22.0,0.8990126234220722,0.9063867016622922,0.9037620297462817
